Rank,Player,Team,Salary_USD,Season
381,Daniel Theis,New Orleans Pelicans,2087519,2024-25
382,Charles Bassey,San Antonio Spurs,2087519,2024-25
383,Sandro Mamukelashvili,San Antonio Spurs,2087519,2024-25
384,Jordan McLaughlin,San Antonio Spurs,2087519,2024-25
385,Doug McDermott,Sacramento Kings,2087519,2024-25
386,Bol Bol,Phoenix Suns,2087519,2024-25
387,Tyus Jones,Phoenix Suns,2087519,2024-25
388,Monte Morris,Phoenix Suns,2087519,2024-25
389,Damion Lee,Phoenix Suns,2087519,2024-25
390,Mason Plumlee,Phoenix Suns,2087519,2024-25
391,Guerschon Yabusele,Philadelphia 76ers,2087519,2024-25
392,Kyle Lowry,Philadelphia 76ers,2087519,2024-25
393,Tyler Kolek,New York Knicks,2087519,2024-25
394,Delon Wright,New York Knicks,2087519,2024-25
395,Cameron Payne,New York Knicks,2087519,2024-25
396,PJ Dozier,Minnesota Timberwolves,2087519,2024-25
397,Joe Ingles,Minnesota Timberwolves,2087519,2024-25
398,Gary Trent Jr.,Milwaukee Bucks,2087519,2024-25
399,Taurean Prince,Milwaukee Bucks,2087519,2024-25
400,Alec Burks,Miami Heat,2087519,2024-25
401,Markieff Morris,Los Angeles Lakers,2087519,2024-25
402,Patty Mills,LA Clippers,2087519,2024-25
403,Thomas Bryant,Indiana Pacers,2087519,2024-25
404,James Johnson,Indiana Pacers,2087519,2024-25
405,Vlatko Cancar,Denver Nuggets,2087519,2024-25
406,DeAndre Jordan,Denver Nuggets,2087519,2024-25
407,Spencer Dinwiddie,Dallas Mavericks,2087519,2024-25
408,Tristan Thompson,Cleveland Cavaliers,2087519,2024-25
409,Talen Horton-Tucker,Chicago Bulls,2087519,2024-25
410,Mo Bamba,New Orleans Pelicans,2087519,2024-25
411,Luke Kornet,Boston Celtics,2087519,2024-25
412,Duop Reath,Portland Trail Blazers,2048780,2024-25
413,Jaylin Williams,Oklahoma City Thunder,2019699,2024-25
414,Bryce McGowens,Portland Trail Blazers,2019699,2024-25
415,Jabari Walker,Portland Trail Blazers,2019699,2024-25
416,Josh Minott,Minnesota Timberwolves,2019699,2024-25
417,Andrew Nembhard,Indiana Pacers,2019699,2024-25
418,Jaden Hardy,Dallas Mavericks,2019699,2024-25
419,Caleb Houstan,Orlando Magic,2019693,2024-25
420,JT Thor,Washington Wizards,1988598,2024-25
421,Jose Alvarado,New Orleans Pelicans,1988598,2024-25
422,Matt Ryan,New York Knicks,1919558,2024-25
423,Mouhamed Gueye,Atlanta Hawks,1891858,2024-25
424,GG Jackson,Memphis Grizzlies,1891857,2024-25
425,Javon Freeman-Liberty,Toronto Raptors,1891857,2024-25
426,Rayan Rupert,Portland Trail Blazers,1891857,2024-25
427,Sidy Cissoko,Portland Trail Blazers,1891857,2024-25
428,Toumani Camara,Portland Trail Blazers,1891857,2024-25
429,Ricky Council IV,Philadelphia 76ers,1891857,2024-25
430,Maxwell Lewis,Brooklyn Nets,1891857,2024-25
431,Jalen Wilson,Brooklyn Nets,1891857,2024-25
432,Leonard Miller,Minnesota Timberwolves,1891857,2024-25
433,Chris Livingston,Milwaukee Bucks,1891857,2024-25
434,Andre Jackson Jr.,Milwaukee Bucks,1891857,2024-25
435,Gui Santos,Golden State Warriors,1891857,2024-25
436,Trayce Jackson-Davis,Golden State Warriors,1891857,2024-25
437,Jalen Pickett,Denver Nuggets,1891857,2024-25
438,Hunter Tyson,Denver Nuggets,1891857,2024-25
439,Craig Porter Jr.,Cleveland Cavaliers,1891857,2024-25
440,Julian Phillips,Chicago Bulls,1891857,2024-25
441,Onuralp Bitim,Chicago Bulls,1891857,2024-25
442,Jordan Walsh,Boston Celtics,1891857,2024-25
443,Jonathan Mogbo,Toronto Raptors,1862265,2024-25
444,Jamal Shead,Toronto Raptors,1862265,2024-25
445,Johnny Furphy,Indiana Pacers,1850842,2024-25
446,Pacome Dadiet,New York Knicks,1808080,2024-25
447,Justin Champagnie,Washington Wizards,1800000,2024-25
448,Jae Crowder,Sacramento Kings,1655619,2024-25
449,Paul Reed,Detroit Pistons,1427671,2024-25
450,Karlo Matkovic,New Orleans Pelicans,1407153,2024-25
451,Landry Shamet,New York Knicks,1343690,2024-25
452,Bobi Klintman,Detroit Pistons,1257153,2024-25
453,Jaylen Wells,Memphis Grizzlies,1157153,2024-25
454,Oso Ighodaro,Phoenix Suns,1157153,2024-25
455,Adem Bona,Philadelphia 76ers,1157153,2024-25
456,Tyler Smith,Milwaukee Bucks,1157153,2024-25
457,Bronny James,Los Angeles Lakers,1157153,2024-25
458,Cam Christie,LA Clippers,1157153,2024-25
459,Antonio Reeves,New Orleans Pelicans,1157153,2024-25
460,Pelle Larsson,Miami Heat,1157143,2024-25
461,Ariel Hukporti,New York Knicks,1064558,2024-25
462,Jordan Miller,LA Clippers,1050000,2024-25
463,Jamison Battle,Toronto Raptors,1000000,2024-25
464,Branden Carlson,Oklahoma City Thunder,990895,2024-25
465,Moussa Diabate,Charlotte Hornets,957763,2024-25
466,Lonnie Walker IV,Philadelphia 76ers,780932,2024-25
467,Ben Simmons,LA Clippers,755826,2024-25
468,Jared Butler,Philadelphia 76ers,745726,2024-25
469,Alex Len,Los Angeles Lakers,743829,2024-25
470,Markelle Fultz,Sacramento Kings,731831,2024-25
471,Keshad Johnson,Miami Heat,724883,2024-25
472,Tyrese Martin,Brooklyn Nets,635853,2024-25
473,Jaden Springer,Utah Jazz,634437,2024-25
